CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,PlanDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,PlanDist_2,CounterExamples_3,Specificity_3,PRev_3,Pos_3,VarDist_3,RuleDist_3,PlanDist_3,CounterExamples_4,Specificity_4,PRev_4,Pos_4,VarDist_4,RuleDist_4,PlanDist_4,CounterExamples_5,Specificity_5,PRev_5,Pos_5,VarDist_5,RuleDist_5,PlanDist_5,CounterExamples_6,Specificity_6,PRev_6,Pos_6,VarDist_6,RuleDist_6,PlanDist_6,CounterExamples_7,Specificity_7,PRev_7,Pos_7,VarDist_7,RuleDist_7,PlanDist_7,CounterExamples_8,Specificity_8,PRev_8,Pos_8,VarDist_8,RuleDist_8,PlanDist_8,CounterExamples_9,Specificity_9,PRev_9,Pos_9,VarDist_9,RuleDist_9,PlanDist_9,
7,24.75,-1,0,-1,47.2857,-1,4,13.5,-1,1,-1,59.5714,-1,4,40.5,-1,0,-1,38.2857,-1,7,15.75,0.947462,0,-1,32.8571,-1,9,18.3333,0.697329,1,-1,34,-1,5,27.6667,-1,0,-1,37.5714,-1,3,23.5,0.122903,1,-1,61.4286,-1,4,23,0.720618,0,-1,60.1429,-1,5,32.5,-1,0,-1,23.4286,-1,8,17.25,-1,0,-1,20.4286,-1,
8,23,0.668984,1,-1,46.4286,-1,5,23.3333,-1,1,-1,47.2857,-1,4,40.5,-1,0,-1,38.2857,-1,7,15.75,-1,0,-1,32.8571,-1,9,18.3333,0.562522,0,-1,34,-1,6,31.5,0.516241,1,-1,25.2857,-1,3,23.5,-1,0,-1,61.4286,-1,4,23,-1,0,-1,60.1429,-1,5,32.5,-1,0,-1,23.4286,-1,9,21.6,-1,1,-1,8.14286,-1,
8,23,-1,0,0.985,46.4286,1,5,23.3333,-1,0,0.98,47.2857,1,4,40.5,-1,0,1,38.2857,1,7,15.75,-1,0,0.5375,32.8571,0.894737,9,18.3333,0.811788,0,0.745,34,0.842105,7,26.5,-1,1,0.96,22.4286,1,3,23.5,-1,0,0.9625,61.4286,1,4,23,-1,0,0.995,60.1429,1,5,32.5,0.598113,0,1,23.4286,1,9,21.6,0.501516,0,0.8975,8.14286,1,
8,23,-1,0,-1,46.4286,-1,5,23.3333,0.726229,0,-1,47.2857,-1,4,40.5,-1,0,-1,38.2857,-1,7,15.75,-1,0,-1,32.8571,-1,9,18.3333,-1,0,-1,34,-1,7,26.5,-1,0,-1,22.4286,-1,3,23.5,-1,0,-1,61.4286,-1,4,23,-1,0,-1,60.1429,-1,5,32.5,-1,0,-1,23.4286,-1,10,21.6,0.404644,1,-1,8.14286,-1,
8,23,0.689586,0,-1,46.4286,-1,5,23.3333,0.911383,0,-1,47.2857,-1,5,33,-1,1,-1,36.8571,-1,7,15.75,-1,0,-1,32.8571,-1,10,18.3333,0.960527,1,-1,34,-1,7,26.5,-1,0,-1,22.4286,-1,3,23.5,-1,0,-1,61.4286,-1,4,23,0.520893,0,-1,60.1429,-1,5,32.5,-1,0,-1,23.4286,-1,10,21.6,0.508379,0,-1,8.14286,-1,
8,23,0.82893,0,-1,46.4286,-1,5,23.3333,-1,0,-1,47.2857,-1,5,33,-1,0,-1,36.8571,-1,7,15.75,-1,0,-1,32.8571,-1,11,18.3333,0.781988,1,-1,34,-1,7,26.5,-1,0,-1,22.4286,-1,3,23.5,-1,0,-1,61.4286,-1,4,23,0.61915,0,-1,60.1429,-1,5,32.5,-1,0,-1,23.4286,-1,11,24.8333,-1,1,-1,8.14286,-1,
8,23,0.577151,0,-1,46.4286,-1,6,28.25,0.586245,1,-1,35,-1,6,32,-1,1,-1,36.5714,-1,7,15.75,-1,0,-1,32.8571,-1,12,9,-1,1,-1,32.2857,-1,8,20.75,0.609485,1,-1,21.4286,-1,3,23.5,-1,0,-1,61.4286,-1,5,23,0.743332,1,-1,60.1429,-1,5,32.5,-1,0,-1,23.4286,-1,11,24.8333,0.541903,0,-1,8.14286,-1,
8,23,0.937772,0,0.985,46.4286,1,6,28.25,-1,0,0.98,35,1,7,25,-1,1,0.8625,34.5714,1,7,15.75,-1,0,0.5375,32.8571,0.894737,12,9,-1,0,0.6875,32.2857,0.947368,8,20.75,-1,0,0.9475,21.4286,1,3,23.5,-1,0,0.9625,61.4286,1,5,23,0.442635,0,0.995,60.1429,1,5,32.5,-1,0,1,23.4286,1,11,24.8333,-1,0,0.8975,8.14286,1,
8,23,-1,0,-1,46.4286,-1,6,28.25,-1,0,-1,35,-1,7,25,0.552759,0,-1,34.5714,-1,7,15.75,-1,0,-1,32.8571,-1,12,9,-1,0,-1,32.2857,-1,9,25.2,-1,1,-1,9.42857,-1,3,23.5,-1,0,-1,61.4286,-1,6,23,0.802148,1,-1,60.1429,-1,6,31.75,0.544053,1,-1,23.4286,-1,11,24.8333,-1,0,-1,8.14286,-1,
8,23,-1,0,-1,46.4286,-1,7,25.75,-1,1,-1,34.4286,-1,7,25,0.862107,0,-1,34.5714,-1,7,15.75,-1,0,-1,32.8571,-1,12,9,-1,0,-1,32.2857,-1,10,23.6,0.731112,1,-1,9.14286,-1,3,23.5,-1,0,-1,61.4286,-1,6,23,-1,0,-1,60.1429,-1,6,31.75,-1,0,-1,23.4286,-1,11,24.8333,-1,0,-1,8.14286,-1,
