CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,PlanDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,PlanDist_2,CounterExamples_3,Specificity_3,PRev_3,Pos_3,VarDist_3,RuleDist_3,PlanDist_3,CounterExamples_4,Specificity_4,PRev_4,Pos_4,VarDist_4,RuleDist_4,PlanDist_4,CounterExamples_5,Specificity_5,PRev_5,Pos_5,VarDist_5,RuleDist_5,PlanDist_5,CounterExamples_6,Specificity_6,PRev_6,Pos_6,VarDist_6,RuleDist_6,PlanDist_6,CounterExamples_7,Specificity_7,PRev_7,Pos_7,VarDist_7,RuleDist_7,PlanDist_7,CounterExamples_8,Specificity_8,PRev_8,Pos_8,VarDist_8,RuleDist_8,PlanDist_8,CounterExamples_9,Specificity_9,PRev_9,Pos_9,VarDist_9,RuleDist_9,PlanDist_9,
9,19,-1,1,-1,33.8571,-1,8,22.5,-1,0,-1,22.1429,-1,7,24.3333,0.753837,1,-1,48.4286,-1,7,32.6,-1,1,-1,12.1429,-1,10,24.6,-1,0,-1,9.57143,-1,6,29.75,0.306257,1,-1,48.4286,-1,7,28.6667,-1,0,-1,49.7143,-1,10,19.25,-1,0,-1,35,-1,6,34,-1,0,-1,50.4286,-1,6,16.6667,-1,1,-1,34.5714,-1,
10,12,0.892387,1,-1,32.5714,-1,8,22.5,0.485808,0,-1,22.1429,-1,7,24.3333,-1,0,-1,48.4286,-1,7,32.6,-1,0,-1,12.1429,-1,10,24.6,0.886538,0,-1,9.57143,-1,6,29.75,-1,0,-1,48.4286,-1,8,28.3333,-1,1,-1,49.4286,-1,10,19.25,-1,0,-1,35,-1,6,34,-1,0,-1,50.4286,-1,6,16.6667,-1,0,-1,34.5714,-1,
10,12,-1,0,0.7625,32.5714,0.894737,8,22.5,-1,0,0.935,22.1429,1,7,24.3333,-1,0,0.9675,48.4286,1,8,27.2,-1,1,0.925,11.2857,1,10,24.6,-1,0,0.915,9.57143,1,6,29.75,0.433957,0,0.985,48.4286,1,8,28.3333,-1,0,0.98,49.4286,1,10,19.25,-1,0,0.9975,35,1,7,33.75,0.887276,1,0.9925,50.2857,1,6,16.6667,-1,0,0.9975,34.5714,1,
10,12,-1,0,-1,32.5714,-1,8,22.5,-1,0,-1,22.1429,-1,8,17.3333,-1,1,-1,47.5714,-1,8,27.2,-1,0,-1,11.2857,-1,10,24.6,-1,0,-1,9.57143,-1,7,31.6,-1,1,-1,36.1429,-1,8,28.3333,-1,0,-1,49.4286,-1,11,17.5,0.974866,1,-1,34.7143,-1,8,36,-1,1,-1,26.2857,-1,6,16.6667,-1,0,-1,34.5714,-1,
10,12,-1,0,-1,32.5714,-1,8,22.5,-1,0,-1,22.1429,-1,8,17.3333,-1,0,-1,47.5714,-1,9,25,-1,1,-1,10.7143,-1,10,24.6,-1,0,-1,9.57143,-1,8,29.2,0.868425,1,-1,35.5714,-1,8,28.3333,-1,0,-1,49.4286,-1,11,17.5,-1,0,-1,34.7143,-1,9,32,-1,1,-1,25.4286,-1,7,22.75,-1,1,-1,22.4286,-1,
10,12,-1,0,-1,32.5714,-1,8,22.5,-1,0,-1,22.1429,-1,8,17.3333,-1,0,-1,47.5714,-1,9,25,-1,0,-1,10.7143,-1,10,24.6,-1,0,-1,9.57143,-1,8,29.2,-1,0,-1,35.5714,-1,9,25,0.840824,1,-1,48.4286,-1,12,16.5,0.781242,1,-1,34.4286,-1,9,32,-1,0,-1,25.4286,-1,8,22,-1,1,-1,22.4286,-1,
10,12,0.653162,0,-1,32.5714,-1,8,22.5,-1,0,-1,22.1429,-1,8,17.3333,-1,0,-1,47.5714,-1,9,25,-1,0,-1,10.7143,-1,11,18.6,-1,1,-1,8.28571,-1,8,29.2,-1,0,-1,35.5714,-1,9,25,-1,0,-1,48.4286,-1,12,16.5,0.911436,0,-1,34.4286,-1,10,30.8,0.93926,1,-1,25,-1,8,22,-1,0,-1,22.4286,-1,
10,12,-1,0,0.7625,32.5714,0.894737,8,22.5,-1,0,0.935,22.1429,1,8,17.3333,-1,0,0.9675,47.5714,1,9,25,-1,0,0.925,10.7143,1,11,18.6,-1,0,0.915,8.28571,1,8,29.2,-1,0,0.985,35.5714,1,9,25,0.73569,0,0.955,48.4286,1,13,23,-1,1,0.9675,11,1,10,30.8,-1,0,0.9925,25,1,8,22,-1,0,0.995,22.4286,1,
11,19.25,-1,1,-1,20.4286,-1,8,22.5,-1,0,-1,22.1429,-1,9,16.6667,0.268674,1,-1,47,-1,9,25,-1,0,-1,10.7143,-1,12,24.4,0.925601,1,-1,10,-1,8,29.2,0.377598,0,-1,35.5714,-1,9,25,0.394654,0,-1,48.4286,-1,14,18.4,-1,1,-1,9.85714,-1,10,30.8,-1,0,-1,25,-1,9,21.25,-1,1,-1,22.4286,-1,
11,19.25,-1,0,-1,20.4286,-1,9,19.25,-1,1,-1,21.8571,-1,9,16.6667,-1,0,-1,47,-1,9,25,-1,0,-1,10.7143,-1,12,24.4,-1,0,-1,10,-1,8,29.2,-1,0,-1,35.5714,-1,9,25,0.341544,0,-1,48.4286,-1,14,18.4,-1,0,-1,9.85714,-1,10,30.8,-1,0,-1,25,-1,9,21.25,-1,0,-1,22.4286,-1,
