CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,PlanDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,PlanDist_2,
7,49.3333,-1,0,-1,78.1818,-1,5,32,-1,0,-1,84.6364,-1,4,86,-1,1,-1,87.5455,-1,
7,49.3333,-1,0,-1,78.1818,-1,5,32,-1,0,-1,84.6364,-1,4,86,-1,0,-1,87.5455,-1,
7,49.3333,-1,0,-1,78.1818,-1,5,32,-1,0,-1,84.6364,-1,4,86,-1,0,-1,87.5455,-1,
7,49.3333,-1,0,-1,78.1818,-1,6,31.5,-1,1,-1,84.5455,-1,5,111.667,-1,1,-1,84,-1,
7,49.3333,-1,0,-1,78.1818,-1,6,31.5,-1,0,-1,84.5455,-1,6,127,-1,1,-1,80.7273,-1,
7,49.3333,-1,0,-1,78.1818,-1,6,31.5,-1,0,-1,84.5455,-1,6,127,-1,0,-1,80.7273,-1,
8,49,0.896598,1,-1,78.0909,-1,6,31.5,-1,0,-1,84.5455,-1,7,98.75,-1,1,-1,77.7273,-1,
8,49,-1,0,-1,78.0909,-1,6,31.5,-1,0,-1,84.5455,-1,7,98.75,-1,0,-1,77.7273,-1,
8,49,-1,0,-1,78.0909,-1,6,31.5,-1,0,-1,84.5455,-1,7,98.75,-1,0,-1,77.7273,-1,
8,49,-1,0,-1,78.0909,-1,6,31.5,-1,0,-1,84.5455,-1,7,98.75,0.196517,0,-1,77.7273,-1,
8,49,-1,0,-1,78.0909,-1,6,31.5,-1,0,-1,84.5455,-1,7,98.75,0.294108,0,-1,77.7273,-1,
9,48.6667,-1,1,-1,78,-1,6,31.5,-1,0,-1,84.5455,-1,7,98.75,-1,0,-1,77.7273,-1,
9,48.6667,-1,0,-1,78,-1,6,31.5,-1,0,-1,84.5455,-1,7,98.75,-1,0,-1,77.7273,-1,
9,48.6667,-1,0,-1,78,-1,6,31.5,-1,0,-1,84.5455,-1,7,98.75,-1,0,-1,77.7273,-1,
9,48.6667,-1,0,-1,78,-1,6,31.5,-1,0,-1,84.5455,-1,7,98.75,-1,0,-1,77.7273,-1,
9,48.6667,-1,0,-1,78,-1,6,31.5,-1,0,-1,84.5455,-1,7,98.75,-1,0,-1,77.7273,-1,
9,48.6667,0.265223,0,-1,78,-1,6,31.5,-1,0,-1,84.5455,-1,7,98.75,-1,0,-1,77.7273,-1,
9,48.6667,-1,0,-1,78,-1,6,31.5,-1,0,-1,84.5455,-1,8,61.75,-1,1,-1,73.5455,-1,
9,48.6667,-1,0,-1,78,-1,6,31.5,0.267941,0,-1,84.5455,-1,8,61.75,-1,0,-1,73.5455,-1,
9,48.6667,-1,0,-1,78,-1,6,31.5,-1,0,-1,84.5455,-1,9,48.5,-1,1,-1,70.9091,-1,
9,48.6667,-1,0,0.867778,78,0.95,6,31.5,0.22157,0,0.946667,84.5455,1,9,48.5,-1,0,0.778889,70.9091,0.85,
9,48.6667,-1,0,-1,78,-1,7,75,0.963206,1,-1,84.5455,-1,9,48.5,-1,0,-1,70.9091,-1,
9,48.6667,-1,0,-1,78,-1,7,75,-1,0,-1,84.5455,-1,9,48.5,-1,0,-1,70.9091,-1,
9,48.6667,-1,0,-1,78,-1,8,61.6667,0.94767,1,-1,83.1818,-1,9,48.5,-1,0,-1,70.9091,-1,
9,48.6667,-1,0,-1,78,-1,8,61.6667,-1,0,-1,83.1818,-1,9,48.5,-1,0,-1,70.9091,-1,
9,48.6667,-1,0,-1,78,-1,8,61.6667,-1,0,-1,83.1818,-1,9,48.5,-1,0,-1,70.9091,-1,
9,48.6667,-1,0,-1,78,-1,9,36.3333,0.998527,1,-1,83.1818,-1,9,48.5,-1,0,-1,70.9091,-1,
9,48.6667,-1,0,-1,78,-1,9,36.3333,-1,0,-1,83.1818,-1,9,48.5,-1,0,-1,70.9091,-1,
9,48.6667,-1,0,-1,78,-1,10,68.75,-1,1,-1,79.5455,-1,9,48.5,-1,0,-1,70.9091,-1,
9,48.6667,-1,0,-1,78,-1,10,68.75,-1,0,-1,79.5455,-1,9,48.5,-1,0,-1,70.9091,-1,
10,69.5,-1,1,-1,73.4545,-1,10,68.75,-1,0,-1,79.5455,-1,9,48.5,-1,0,-1,70.9091,-1,
11,69.25,0.960959,1,-1,73.3636,-1,10,68.75,-1,0,-1,79.5455,-1,9,48.5,-1,0,-1,70.9091,-1,
11,69.25,-1,0,-1,73.3636,-1,10,68.75,-1,0,-1,79.5455,-1,9,48.5,0.167034,0,-1,70.9091,-1,
11,69.25,-1,0,-1,73.3636,-1,11,47.5,-1,1,-1,79.4545,-1,9,48.5,0.225409,0,-1,70.9091,-1,
11,69.25,-1,0,-1,73.3636,-1,11,47.5,-1,0,-1,79.4545,-1,9,48.5,0.904081,0,-1,70.9091,-1,
12,80.6,-1,1,-1,73.3636,-1,11,47.5,-1,0,-1,79.4545,-1,9,48.5,-1,0,-1,70.9091,-1,
12,80.6,-1,0,-1,73.3636,-1,11,47.5,-1,0,-1,79.4545,-1,9,48.5,-1,0,-1,70.9091,-1,
12,80.6,-1,0,-1,73.3636,-1,11,47.5,-1,0,-1,79.4545,-1,9,48.5,-1,0,-1,70.9091,-1,
12,80.6,0.121428,0,-1,73.3636,-1,11,47.5,-1,0,-1,79.4545,-1,9,48.5,0.885949,0,-1,70.9091,-1,
13,57.2,0.992443,1,-1,73.2727,-1,11,47.5,0.97098,0,-1,79.4545,-1,9,48.5,-1,0,-1,70.9091,-1,
13,57.2,-1,0,-1,73.2727,-1,12,70.2,0.894482,1,-1,79.4545,-1,9,48.5,-1,0,-1,70.9091,-1,
13,57.2,-1,0,-1,73.2727,-1,13,49,0.928439,1,-1,79.0909,-1,9,48.5,-1,0,-1,70.9091,-1,
13,57.2,-1,0,-1,73.2727,-1,13,49,-1,0,-1,79.0909,-1,9,48.5,-1,0,-1,70.9091,-1,
13,57.2,0.0604588,0,-1,73.2727,-1,13,49,-1,0,-1,79.0909,-1,9,48.5,-1,0,-1,70.9091,-1,
13,57.2,0.995396,0,-1,73.2727,-1,13,49,-1,0,-1,79.0909,-1,9,48.5,-1,0,-1,70.9091,-1,
13,57.2,-1,0,-1,73.2727,-1,13,49,-1,0,-1,79.0909,-1,9,48.5,0.16527,0,-1,70.9091,-1,
13,57.2,0.0478492,0,-1,73.2727,-1,13,49,0.976194,0,-1,79.0909,-1,9,48.5,0.863055,0,-1,70.9091,-1,
13,57.2,0.069272,0,-1,73.2727,-1,13,49,0.455675,0,-1,79.0909,-1,9,48.5,-1,0,-1,70.9091,-1,
13,57.2,1,0,-1,73.2727,-1,13,49,-1,0,-1,79.0909,-1,9,48.5,-1,0,-1,70.9091,-1,
14,57,0.999185,1,-1,73.1818,-1,13,49,0.798139,0,-1,79.0909,-1,9,48.5,0.115962,0,-1,70.9091,-1,
14,57,-1,0,0.795556,73.1818,0.9,13,49,0.988708,0,0.818889,79.0909,0.95,9,48.5,0.55363,0,0.778889,70.9091,0.85,
