CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,
15,43.6667,-1,0,0.778889,72.0909,0.8,
15,43.6667,0.710023,0,-1,72.0909,-1,
15,43.6667,0.951618,0,-1,72.0909,-1,
15,43.6667,-1,0,-1,72.0909,-1,
15,43.6667,-1,0,-1,72.0909,-1,
15,43.6667,-1,0,-1,72.0909,-1,
15,43.6667,0.954358,0,-1,72.0909,-1,
15,43.6667,-1,0,-1,72.0909,-1,
15,43.6667,-1,0,-1,72.0909,-1,
15,43.6667,0.705963,0,-1,72.0909,-1,
15,43.6667,1,0,-1,72.0909,-1,
15,43.6667,-1,0,-1,72.0909,-1,
15,43.6667,-1,0,-1,72.0909,-1,
15,43.6667,-1,0,-1,72.0909,-1,
15,43.6667,-1,0,-1,72.0909,-1,
15,43.6667,-1,0,-1,72.0909,-1,
15,43.6667,-1,0,-1,72.0909,-1,
15,43.6667,0.95179,0,-1,72.0909,-1,
15,43.6667,-1,0,-1,72.0909,-1,
15,43.6667,1,0,-1,72.0909,-1,
15,43.6667,0.954599,0,-1,72.0909,-1,
15,43.6667,0.954698,0,-1,72.0909,-1,
16,55.4286,-1,1,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,0.778889,67.5455,0.8,
16,55.4286,0.99816,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,0.957259,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,0.741492,0,-1,67.5455,-1,
16,55.4286,0.741461,0,-1,67.5455,-1,
16,55.4286,0.999993,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,0.951355,0,-1,67.5455,-1,
16,55.4286,0.949147,0,-1,67.5455,-1,
16,55.4286,1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,0.954196,0,-1,67.5455,-1,
16,55.4286,0.951643,0,0.778889,67.5455,0.8,
16,55.4286,0.971413,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,0.807323,0,-1,67.5455,-1,
16,55.4286,0.969462,0,-1,67.5455,-1,
16,55.4286,1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,0.279314,0,-1,67.5455,-1,
16,55.4286,0.87618,0,-1,67.5455,-1,
16,55.4286,0.9454,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,0.231527,0,-1,67.5455,-1,
16,55.4286,0.954818,0,-1,67.5455,-1,
16,55.4286,-1,0,-1,67.5455,-1,
16,55.4286,0.789876,0,-1,67.5455,-1,
16,55.4286,0.954032,0,-1,67.5455,-1,
